Folder	Parent_Image	Image_name	Nuclei Detection	Double Counting Analysis	Elimination Processes
Fibers	Set2_A_H1_DAPI_STACK.tif	Set2_A_H1_DAPI_STACK_s1-2.png	49	31	31
Fibers	Set2_A_H1_DAPI_STACK.tif	Set2_A_H1_DAPI_STACK_s3-4.png	101	65	65
Fibers	Set2_A_H1_DAPI_STACK.tif	Set2_A_H1_DAPI_STACK_s5-6.png	76	58	59
Fibers	Set2_A_H1_DAPI_STACK.tif	Set2_A_H1_DAPI_STACK_s7-8.png	98	47	45
Fibers	Set2_A_H1_DAPI_STACK.tif	Set2_A_H1_DAPI_STACK_s9-10.png	96	81	81
Fibers	Set2_A_H2_DAPI_STACK.tif	Set2_A_H2_DAPI_STACK_s1-2.png	52	49	41
Fibers	Set2_A_H2_DAPI_STACK.tif	Set2_A_H2_DAPI_STACK_s3-4.png	133	114	112
Fibers	Set2_A_H2_DAPI_STACK.tif	Set2_A_H2_DAPI_STACK_s5-6.png	164	154	151
Fibers	Set2_A_H2_DAPI_STACK.tif	Set2_A_H2_DAPI_STACK_s7-8.png	89	73	67
Fibers	Set2_A_H2_DAPI_STACK.tif	Set2_A_H2_DAPI_STACK_s9-10.png	39	37	21
Fibers	Set2_A_H3_DAPI_STACK.tif	Set2_A_H3_DAPI_STACK_s1-2.png	80	53	48
Fibers	Set2_A_H3_DAPI_STACK.tif	Set2_A_H3_DAPI_STACK_s3-4.png	138	70	68
Fibers	Set2_A_H3_DAPI_STACK.tif	Set2_A_H3_DAPI_STACK_s5-6.png	201	147	146
Fibers	Set2_A_H3_DAPI_STACK.tif	Set2_A_H3_DAPI_STACK_s7-8.png	154	94	89
Fibers	Set2_A_H3_DAPI_STACK.tif	Set2_A_H3_DAPI_STACK_s9-10.png	122	106	104
Fibers	Set2_A_H4_DAPI_STACK.tif	Set2_A_H4_DAPI_STACK_s1-2.png	121	100	99
Fibers	Set2_A_H4_DAPI_STACK.tif	Set2_A_H4_DAPI_STACK_s3-4.png	68	58	58
Fibers	Set2_A_H4_DAPI_STACK.tif	Set2_A_H4_DAPI_STACK_s5-6.png	56	51	50
Fibers	Set2_A_H4_DAPI_STACK.tif	Set2_A_H4_DAPI_STACK_s7-8.png	46	34	32
Fibers	Set2_A_H4_DAPI_STACK.tif	Set2_A_H4_DAPI_STACK_s9-10.png	34	29	23
Fibers	Set2_A_H5_DAPI_STACK.tif	Set2_A_H5_DAPI_STACK_s1-2.png	58	52	54
Fibers	Set2_A_H5_DAPI_STACK.tif	Set2_A_H5_DAPI_STACK_s3-4.png	145	140	145
Fibers	Set2_A_H5_DAPI_STACK.tif	Set2_A_H5_DAPI_STACK_s5-6.png	61	53	54
Fibers	Set2_A_H5_DAPI_STACK.tif	Set2_A_H5_DAPI_STACK_s7-8.png	70	68	68
Fibers	Set2_A_H5_DAPI_STACK.tif	Set2_A_H5_DAPI_STACK_s9-10.png	31	29	27
Fibers	Set2_I_H1_DAPI_STACK.tif	Set2_I_H1_DAPI_STACK_s1-2.png	49	31	31
Fibers	Set2_I_H1_DAPI_STACK.tif	Set2_I_H1_DAPI_STACK_s3-4.png	101	65	65
